date,Argentina,Bolivia,Chile,Colombia,Costa Rica,Cuba,Ecuador,Germany,Italy,Mexico,Portugal,Spain,Uruguay,US,Venezuela
2020-03-03,0,0,0,0,0,0,0,16,160,1,0,2,0,7,0
2020-03-04,0,0,0,0,0,0,0,16,276,1,0,2,0,7,0
2020-03-05,0,0,0,0,0,0,0,16,414,1,0,2,0,7,0
2020-03-06,0,0,0,0,0,0,0,17,523,1,0,2,0,7,0
2020-03-07,0,0,0,0,0,0,0,18,589,1,0,30,0,7,0
2020-03-08,0,0,0,0,0,0,0,18,622,1,0,30,0,7,0
2020-03-09,0,0,0,0,0,0,0,18,724,1,0,32,0,7,0
2020-03-10,0,0,0,0,0,0,0,18,724,4,0,32,0,8,0
2020-03-11,0,0,0,0,0,0,0,25,1045,4,0,183,0,8,0
2020-03-12,0,0,0,0,0,0,0,25,1045,4,0,183,0,12,0
2020-03-13,0,0,0,0,0,0,0,46,1439,4,1,193,0,12,0
2020-03-14,1,0,0,0,0,0,0,46,1966,4,2,517,0,12,0
2020-03-15,1,0,0,0,0,0,0,46,2335,4,2,517,0,12,0
2020-03-16,1,0,0,0,0,0,0,67,2749,4,3,530,0,17,0
2020-03-17,3,0,0,1,0,0,0,67,2941,4,3,1028,0,17,0
2020-03-18,3,0,0,1,0,0,0,105,4025,4,3,1081,0,105,0
2020-03-19,3,0,0,1,0,0,0,113,4440,4,3,1107,0,121,0
2020-03-20,3,0,6,1,0,0,0,180,4440,4,5,1588,0,147,0
2020-03-21,3,0,6,1,2,0,3,233,6072,4,5,2125,0,176,0
2020-03-22,3,0,8,3,2,0,3,266,7024,4,5,2575,0,178,15
2020-03-23,3,0,8,3,2,0,3,266,7024,4,5,2575,0,178,15
2020-03-24,52,0,17,6,2,1,3,3243,8326,4,22,3794,0,348,15
2020-03-25,52,0,22,8,2,1,3,3547,9362,4,22,5367,0,361,15
2020-03-26,63,0,22,8,2,1,3,5673,10361,4,43,7015,0,681,15
2020-03-27,72,0,43,10,3,4,3,6658,10950,4,43,9357,0,869,31
2020-03-28,72,0,61,10,3,4,3,8481,12384,4,43,12285,0,1072,39
2020-03-29,72,0,75,10,3,4,3,9211,13030,4,43,14709,0,2665,39
2020-03-30,228,0,156,15,4,4,3,13500,14620,35,43,16780,0,5644,39
2020-03-31,240,0,156,31,4,8,54,16100,15729,35,43,19259,41,7024,39
2020-04-01,248,1,234,39,4,12,58,18700,16847,35,43,22647,62,8474,41
2020-04-02,256,1,335,55,6,13,65,22440,18278,35,68,26743,68,9001,43
2020-04-03,266,1,427,55,11,15,65,24575,19758,633,68,30513,86,9707,52
2020-04-04,279,1,528,85,13,15,100,26400,20996,633,75,34219,93,14652,52
2020-04-05,280,2,618,88,16,15,100,28700,21815,633,75,38080,104,17448,52
2020-04-06,325,2,728,88,18,18,100,28700,22837,633,140,40437,123,19581,65
2020-04-07,338,2,898,100,24,27,100,36081,24392,633,184,43208,150,21763,65
2020-04-08,358,2,1115,123,29,27,140,46300,26491,633,196,48021,192,23559,65
2020-04-09,365,2,1274,174,30,28,339,52407,28470,633,205,52165,206,25410,84
2020-04-10,375,2,1571,197,42,51,368,53913,30455,633,233,55668,214,28790,84
2020-04-11,440,2,1864,214,49,77,411,57400,32534,633,266,59109,224,31270,93
2020-04-12,468,2,2059,270,56,92,501,60300,34211,1772,277,62391,231,32988,93
2020-04-13,515,2,2367,319,62,121,597,64300,35435,1843,277,64727,248,43482,110
2020-04-14,559,6,2646,354,66,132,696,68200,37130,1964,347,67504,260,47763,110
2020-04-15,596,7,2937,452,67,151,780,72600,38092,2125,383,70853,272,52096,111
2020-04-16,631,14,3299,550,74,171,838,77000,40164,2125,493,74797,286,54703,111
2020-04-17,666,26,3621,634,88,192,838,83114,42727,2125,519,74797,294,58545,111
2020-04-18,685,31,4035,634,97,227,1008,85400,44927,2125,610,74797,298,64840,113
2020-04-19,709,31,4338,711,112,255,1061,88000,47055,2627,610,77357,298,70337,117
2020-04-20,737,31,4676,804,124,285,1150,91500,48877,2627,610,80587,313,72329,117
2020-04-21,840,37,4969,804,150,309,1207,95200,51600,2627,917,82514,324,75204,117
2020-04-22,872,44,5386,870,180,341,1262,99400,54543,2627,1143,85915,337,77366,122
2020-04-23,919,44,5804,927,196,365,1328,103300,57576,2627,1201,89250,354,80203,126
2020-04-24,976,54,6327,1003,216,416,1366,109800,60498,2627,1228,92355,369,99079,132
2020-04-25,1030,54,6746,1067,242,437,1366,109800,63120,7149,1277,95708,370,100372,132
2020-04-26,1107,80,7024,1133,264,501,1366,112000,64928,8354,1329,98372,375,106988,137
2020-04-27,1140,98,7327,1210,287,525,1557,114500,66624,9086,1357,100875,386,111424,142
2020-04-28,1162,110,7710,1268,306,575,1557,117400,68941,11423,1389,102548,394,115936,142
2020-04-29,1192,117,8057,1411,323,617,1557,120400,71252,11423,1470,108947,412,120720,142
2020-04-30,1256,132,8580,1439,338,681,1558,123500,75945,11423,1519,112050,417,153947,142
2020-05-01,1292,134,9018,1551,355,714,1913,126900,78249,12377,1647,112050,435,164015,148
2020-05-02,1320,159,9572,1666,372,765,2132,129000,79914,12377,1671,117248,440,175382,148
2020-05-03,1354,166,10041,1722,386,827,3300,130600,81654,13447,1689,118902,442,180152,158
2020-05-04,1442,174,10415,1807,399,876,3433,132700,82879,13447,1712,121343,447,187180,158
2020-05-05,1472,187,10710,2013,413,954,3433,135100,85231,16810,1743,123486,468,189791,158
2020-05-06,1524,198,11189,2148,428,1001,3433,139900,93245,17781,2076,126002,486,189910,176
2020-05-07,1601,219,11664,2300,445,1031,3433,141700,96276,17781,2258,128511,492,195036,185
2020-05-08,1659,237,12160,2424,461,1078,3433,141700,99023,20314,2422,131148,506,198993,190
2020-05-09,1728,258,12667,2569,480,1140,3433,143300,103031,21824,2499,133952,513,212534,190
2020-05-10,1757,273,13112,2705,501,1193,3433,144400,105186,21824,2549,136166,517,216169,193
2020-05-11,1837,299,13605,2825,517,1229,3433,145617,106587,23100,2549,137139,523,232733,205
