date,Argentina,Bolivia,Chile,Colombia,Costa Rica,Cuba,Ecuador,Germany,Italy,Mexico,Portugal,Spain,United States,Uruguay,Venezuela
2020-03-03,0,0,0,0,0,0,0,0,52,0,0,0,6,0,0
2020-03-04,0,0,0,0,0,0,0,0,80,0,0,0,9,0,0
2020-03-05,0,0,0,0,0,0,0,0,107,0,0,1,11,0,0
2020-03-06,0,0,0,0,0,0,0,0,148,0,0,3,12,0,0
2020-03-07,0,0,0,0,0,0,0,0,197,0,0,5,14,0,0
2020-03-08,1,0,0,0,0,0,0,0,233,0,0,5,17,0,0
2020-03-09,1,0,0,0,0,0,0,0,366,0,0,5,21,0,0
2020-03-10,1,0,0,0,0,0,0,2,464,0,0,28,26,0,0
2020-03-11,1,0,0,0,0,0,0,2,631,0,0,35,28,0,0
2020-03-12,1,0,0,0,0,0,0,3,827,0,0,47,30,0,0
2020-03-13,1,0,0,0,0,0,0,5,1016,0,0,84,40,0,0
2020-03-14,2,0,0,0,0,0,1,5,1268,0,0,121,47,0,0
2020-03-15,2,0,0,0,0,0,2,8,1441,0,0,136,57,0,0
2020-03-16,2,0,0,0,0,0,2,12,1811,0,0,288,69,0,0
2020-03-17,2,0,0,0,0,0,2,13,2158,0,0,309,85,0,0
2020-03-18,2,0,0,0,0,0,2,13,2505,0,1,491,108,0,0
2020-03-19,2,0,0,0,1,1,3,13,2978,0,2,598,150,0,0
2020-03-20,3,0,0,0,1,1,3,43,3407,0,3,767,150,0,0
2020-03-21,3,0,0,0,2,1,7,45,4032,2,6,1002,260,0,0
2020-03-22,4,0,0,1,2,1,7,67,4827,2,12,1326,340,0,0
2020-03-23,4,0,1,2,2,1,14,94,5476,2,14,1720,471,0,0
2020-03-24,4,0,2,3,2,1,18,126,6077,4,23,2182,590,0,0
2020-03-25,6,0,2,3,2,1,27,149,6820,5,33,2696,801,0,0
2020-03-26,8,0,3,4,2,1,29,198,7505,5,43,3434,1050,0,0
2020-03-27,12,0,4,6,2,2,34,253,8165,8,60,4089,1296,0,1
2020-03-28,17,0,5,6,2,2,41,325,9136,12,76,4858,1707,0,1
2020-03-29,19,0,6,6,2,3,48,389,10023,16,100,5690,2191,0,1
2020-03-30,20,3,7,10,2,3,58,455,10781,20,119,6528,2509,1,1
2020-03-31,24,6,8,14,2,4,62,583,11591,28,140,7340,3170,1,3
2020-04-01,24,7,12,16,2,6,79,732,12430,29,160,8189,4079,1,3
2020-04-02,31,8,16,17,2,6,120,872,13157,37,187,9053,5138,2,3
2020-04-03,34,9,18,19,2,6,120,1017,13917,50,209,10003,6053,4,3
2020-04-04,37,10,22,25,2,6,145,1158,14681,60,246,10935,7157,4,3
2020-04-05,43,10,27,32,2,6,172,1342,15362,79,266,11744,8501,5,5
2020-04-06,46,11,34,35,2,8,180,1434,15889,94,295,12418,9647,6,5
2020-04-07,53,14,37,46,2,9,191,1607,16525,125,311,13055,10989,6,5
2020-04-08,60,15,43,50,2,11,220,1861,17129,141,345,13798,12895,7,7
2020-04-09,65,18,48,55,2,12,242,2107,17669,174,380,14555,14817,7,8
2020-04-10,79,19,57,69,3,15,272,2373,18281,194,409,15238,16690,7,9
2020-04-11,82,20,65,80,3,15,297,2544,18851,233,435,15843,18777,7,9
2020-04-12,89,24,73,100,3,16,315,2673,19470,273,470,16353,20608,7,9
2020-04-13,95,27,80,109,3,18,333,2799,19901,296,504,16972,22108,8,9
2020-04-14,98,28,82,112,3,21,355,2969,20465,332,535,17489,23649,8,9
2020-04-15,105,28,92,127,3,21,355,3254,21069,406,567,18276,26057,8,9
2020-04-16,109,29,94,131,4,24,388,3569,21647,449,599,18893,30985,9,9
2020-04-17,115,31,105,144,4,27,403,3868,22172,486,629,19478,33284,9,9
2020-04-18,122,31,116,153,4,31,421,4110,22747,546,657,20043,37054,9,9
2020-04-19,132,32,126,166,4,32,456,4294,23227,650,687,20453,38910,9,9
2020-04-20,134,33,133,179,4,34,474,4404,23660,686,714,20852,40682,10,9
2020-04-21,142,34,139,189,6,36,507,4598,24114,712,735,21282,42539,10,9
2020-04-22,151,37,147,196,6,38,520,4879,24648,857,762,21717,45063,12,10
2020-04-23,159,40,160,206,6,40,537,5094,25085,970,785,22157,46784,12,10
2020-04-24,165,43,168,215,6,43,560,5321,25549,1069,820,22524,49963,12,10
2020-04-25,167,44,174,225,6,49,576,5500,25969,1221,880,22902,51017,12,10
2020-04-26,185,46,181,233,6,51,576,5640,26384,1305,903,23190,53189,14,10
2020-04-27,186,50,189,243,6,54,576,5750,26644,1351,928,23190,54876,15,10
2020-04-28,197,53,198,253,6,56,663,5913,26977,1434,948,23822,56245,15,10
2020-04-29,207,55,207,269,6,58,871,6115,27359,1569,973,24275,58355,15,10
2020-04-30,214,59,216,278,6,58,883,6288,27682,1732,989,24543,60966,15,10
2020-05-01,218,62,227,293,6,61,900,6288,27967,1859,1007,24824,63006,17,10
2020-05-02,225,66,234,314,6,64,1063,6575,28236,1972,1007,25100,65068,17,10
2020-05-03,237,71,247,324,6,66,1371,6649,28710,2061,1023,25264,66385,17,10
2020-05-04,246,76,260,340,6,67,1564,6692,28884,2154,1063,25428,67682,17,10
2020-05-05,260,82,270,358,6,69,1569,6831,29079,2271,1063,25613,68934,17,10
2020-05-06,264,86,275,378,6,69,1569,6996,29315,2507,1074,25857,71078,17,10
2020-05-07,273,91,281,397,6,69,1618,7119,29684,2704,1089,26070,73431,17,10
2020-05-08,282,102,285,407,6,73,1654,7266,29958,2961,1105,26251,75670,17,10
2020-05-09,293,106,294,428,6,74,1704,7369,30201,3160,1114,26478,77180,18,10
2020-05-10,300,114,304,445,6,74,1717,7395,30395,3353,1126,26621,78794,18,10
2020-05-11,300,118,312,463,6,77,2127,7417,30560,3465,1135,,79528,19,10
